Aleman,Español
ich,I
sie,ella
das,el
ist,es
du,tú
nicht,no
die,el
es,él
und,y
der,el
wir,nosotros
was,Qué
zu,a
er,él
ein,a
in,en
ja,Sí
mir,a mí
mit,con
wie,Cómo
den,el
mich,a mí
auf,en
dass,eso
aber,pero
eine,uno
so,entonces
hat,tiene
hier,aquí
haben,tener
für,para
sind,son
war,era
von,de
wenn,si
dich,tú
ihr,su
nein,No
habe,tener
an,en
bin,soy
noch,aún
nur,solo
da,allá
dir,tú
sich,sí mismo
einen,a
uns,a nosotros
hast,tener
dem,demandar
kann,poder
gut,bien
auch,también
schon,ya
als,como
sein,ser
mal,justo
jetzt,ahora
ihn,a él
dann,entonces
aus,fuera de
meine,mío
um,alrededor
im,en el
wird,se convierte en
mein,mi
bist,son
doch,pero
alles,todo
weiß,blanco
keine,No
oder,o
nach,después
nichts,
man,hombre
muss,debe
werden,convertirse
will,desear
ihnen,a ellos
geht,va
wo,dónde
etwas,algo
oh,Oh
mehr,más
bei,en
also,entonces
bitte,por favor
immer,siempre
hab,tener
warum,Por qué
vor,antes
los,Vamos
können,poder
wieder,de nuevo
sagen,decir
machen,hacer
danke,Gracias
sehr,muy
alle,todo
denn,porque